id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_korban,jumlah_korban,satuan,tahun
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,MENINGGAL DUNIA,2,JIWA,2013
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,LUKA-LUKA,0,JIWA,2013
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,MENGUNGSI,0,JIWA,2013
201,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MENDERITA,0,JIWA,2013
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HILANG,0,JIWA,2013
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MENINGGAL DUNIA,0,JIWA,2013
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LUKA-LUKA,0,JIWA,2013
205,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MENGUNGSI,0,JIWA,2013
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MENDERITA,87205,JIWA,2013
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HILANG,0,JIWA,2013
208,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MENINGGAL DUNIA,5,JIWA,2013
209,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LUKA-LUKA,0,JIWA,2013
210,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MENGUNGSI,0,JIWA,2013
211,32,JAWA BARAT,3216,KABUPATEN BEKASI,MENDERITA,15334,JIWA,2013
212,32,JAWA BARAT,3216,KABUPATEN BEKASI,HILANG,0,JIWA,2013
213,32,JAWA BARAT,3216,KABUPATEN BEKASI,MENINGGAL DUNIA,2,JIWA,2013
214,32,JAWA BARAT,3216,KABUPATEN BEKASI,LUKA-LUKA,7,JIWA,2013
215,32,JAWA BARAT,3216,KABUPATEN BEKASI,MENGUNGSI,5835,JIWA,2013
216,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MENDERITA,71,JIWA,2013
217,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HILANG,0,JIWA,2013
218,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MENINGGAL DUNIA,23,JIWA,2013
219,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LUKA-LUKA,11,JIWA,2013
220,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MENGUNGSI,804,JIWA,2013
221,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MENGUNGSI,0,JIWA,2013
222,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MENDERITA,0,JIWA,2013
223,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HILANG,0,JIWA,2013
224,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MENINGGAL DUNIA,0,JIWA,2013
